username,page,score
theengineersfm,wired,0.3
theengineersfm,techcrunch,0.3
mirhanealecian,digitaltrends,0.3
mirhanealecian,techcrunch,0.3
mirhanealecian,openai,0.3
lesniyowilly,techcrunch,0.3
lesniyowilly,insidertech,0.3
be_joyfulofficial,digitaltrends,0.3
be_joyfulofficial,techradar,0.3
be_joyfulofficial,techcrunch,0.3
be_joyfulofficial,cnet,0.3
the.financepage365,techcrunch,0.3
the.financepage365,insidertech,0.3
mbilals,digitaltrends,0.3
mbilals,techcrunch,0.3
holabjorn,wired,0.3
holabjorn,techcrunch,0.3
realtyjefe,wired,0.3
realtyjefe,techcrunch,0.3
realtyjefe,mashable,0.3
sussuaranaspeed,techcrunch,0.3
sussuaranaspeed,openai,0.3
jordan_andrew22,wired,0.3
jordan_andrew22,digitaltrends,0.3
jordan_andrew22,techcrunch,0.3
pasqualefloccari,verge,0.3
pasqualefloccari,techcrunch,0.3
_wen.ferr7,techcrunch,0.3
_wen.ferr7,insidertech,0.3
aptitude.io,wired,0.3
aptitude.io,techcrunch,0.3
taner_bugra_kaya,wired,0.3
taner_bugra_kaya,thenextweb,0.3
taner_bugra_kaya,techcrunch,0.3
taner_bugra_kaya,mashable,0.3
aitrainingdev,microsoft,0.2
aitrainingdev,techcrunch,0.2
adamsarwar,wired,0.2
adamsarwar,techcrunch,0.2
brentbagshaw,wired,0.2
brentbagshaw,techcrunch,0.2
jobtensor,digitaltrends,0.2
jobtensor,techcrunch,0.2
adammvictordev,techcrunch,0.2
adammvictordev,insidertech,0.2
adammvictordev,openai,0.2
tireesnorth,techcrunch,0.2
tireesnorth,engadget,0.2
prashants.96,techcrunch,0.2
prashants.96,insidertech,0.2
zedology,insidertech,0.2
zedology,techcrunch,0.2
zedology,mashable,0.2
zedology,cnet,0.2
firxworx,wired,0.2
firxworx,techcrunch,0.2
icedeckerz,digitaltrends,0.2
icedeckerz,techcrunch,0.2
jumaanjoe,techcrunch,0.2
jumaanjoe,mashable,0.2
afoteyannum,androidauthority,0.2
afoteyannum,techcrunch,0.2
afoteyannum,mkbhd,0.2
thecgtrollagain,techcrunch,0.2
thecgtrollagain,cnet,0.2
ryanmoore,androidauthority,0.2
ryanmoore,techcrunch,0.2
ryanmoore,mashable,0.2
visu_smart_official,openai,0.2
visu_smart_official,techcrunch,0.2
visu_smart_official,cnet,0.2
rrrufio,wired,0.2
rrrufio,techcrunch,0.2
rrrufio,mashable,0.2
devjonds,wired,0.2
devjonds,techcrunch,0.2
isabelcastronet,gitHub,0.2
isabelcastronet,techcrunch,0.2
isabelcastronet,cnet,0.2
pensive.turtles,techcrunch,0.2
pensive.turtles,mashable,0.2
manu_pasta,verge,0.2
manu_pasta,techcrunch,0.2
skqr,wired,0.2
skqr,techcrunch,0.2
lesyyazoryaana,digitaltrends,0.2
lesyyazoryaana,techcrunch,0.2
bookbookw,techcrunch,0.2
bookbookw,cnet,0.2
techsweepstakes,digitaltrends,0.2
techsweepstakes,techcrunch,0.2
chowzen_1,techcrunch,0.2
chowzen_1,mashable,0.2
chowzen_1,insidertech,0.2
reekinghav0k,wired,0.2
reekinghav0k,techcrunch,0.2
khaledalwaleed,techcrunch,0.2
khaledalwaleed,unboxtherapy,0.2
epicteam.ai,microsoft,0.2
epicteam.ai,techcrunch,0.2
add12,techcrunch,0.2
add12,mashable,0.2
add12,insidertech,0.2
jjwesker10,techcrunch,0.2
jjwesker10,insidertech,0.2
paladin991973,techcrunch,0.2
paladin991973,insidertech,0.2
atikul_islam9829,digitaltrends,0.2
atikul_islam9829,techcrunch,0.2
darkprincekendall,microsoft,0.2
darkprincekendall,techcrunch,0.2
john.gregorio90,appleinsider,0.2
john.gregorio90,techcrunch,0.2
nilo.river,digitaltrends,0.2
nilo.river,techcrunch,0.2
nilo.river,verge,0.2
rossimage,techcrunch,0.2
rossimage,insidertech,0.2
gizmokraze.us,verge,0.2
gizmokraze.us,gadgetflow,0.2
gizmokraze.us,wired,0.2
gizmokraze.us,techcrunch,0.2
gizmokraze.us,gizmodo,0.2
lakshyalark,androidauthority,0.2
lakshyalark,techcrunch,0.2
lakshyalark,theapplehub,0.2
brood.ai,digitaltrends,0.2
brood.ai,techcrunch,0.2
wauln,digitaltrends,0.2
wauln,techcrunch,0.2
wauln,insidertech,0.2
rodrigofdasneves,verge,0.2
rodrigofdasneves,techcrunch,0.2
gregrenon,techcrunch,0.2
gregrenon,engadget,0.2
usernamerobert_,techcrunch,0.2
usernamerobert_,insidertech,0.2
usernamerobert_,theapplehub,0.2
alberto.dsc,gitHub,0.2
alberto.dsc,techcrunch,0.2
tsmholding,digitaltrends,0.2
tsmholding,techcrunch,0.2
julerobb1,techcrunch,0.2
julerobb1,linustech,0.2
sillyasitsounds,techcrunch,0.2
sillyasitsounds,insidertech,0.2
the_nervous_mechanic,wired,0.2
the_nervous_mechanic,techcrunch,0.2
jay_r2251,wired,0.2
jay_r2251,techcrunch,0.2
brittanycity,microsoft,0.2
brittanycity,techcrunch,0.2
annieaburke,techcrunch,0.2
annieaburke,openai,0.2
tha_guz,wired,0.2
tha_guz,verge,0.2
tha_guz,techcrunch,0.2
ariannaintech,digitaltrends,0.2
ariannaintech,techcrunch,0.2
ariannaintech,insidertech,0.2
provantagesocial,digitaltrends,0.2
provantagesocial,techcrunch,0.2
darius.andrey,androidcentral,0.2
darius.andrey,techcrunch,0.2
markus_wunsch,microsoft,0.2
markus_wunsch,techcrunch,0.2
markus_wunsch,insidertech,0.2
johnnyxz10,androidauthority,0.2
johnnyxz10,techcrunch,0.2
azhars.work,verge,0.2
azhars.work,techcrunch,0.2
nuno_hipolito,gizmodo,0.2
nuno_hipolito,techcrunch,0.2
nuno_hipolito,mashable,0.2
thebusinessarchitect,digitaltrends,0.2
thebusinessarchitect,techcrunch,0.2
aiinatom,techcrunch,0.2
aiinatom,insidertech,0.2
hair.beststyle,microsoft,0.2
hair.beststyle,techcrunch,0.2
hair.beststyle,mkbhd,0.2
hair.beststyle,insidertech,0.2
astroeconomist,wired,0.2
astroeconomist,techcrunch,0.2
longbluesquid,techcrunch,0.2
longbluesquid,engadget,0.2
thedoryk,digitaltrends,0.2
thedoryk,techcrunch,0.2
arzubarske,techcrunch,0.2
arzubarske,insidertech,0.2
ninjatech.ai,digitaltrends,0.2
ninjatech.ai,techcrunch,0.2
333lifestrategy_,wired,0.2
333lifestrategy_,techcrunch,0.2
22marcelomedina,digitaltrends,0.2
22marcelomedina,microsoft,0.2
22marcelomedina,techcrunch,0.2
bizzit.ai,microsoft,0.2
bizzit.ai,techcrunch,0.2
seizethade,microsoft,0.2
seizethade,techcrunch,0.2
branmcnobre,wired,0.2
branmcnobre,techcrunch,0.2
branmcnobre,mashable,0.2
andyro452,techcrunch,0.2
andyro452,insidertech,0.2
ethan_menzel,appleinsider,0.2
ethan_menzel,digitaltrends,0.2
ethan_menzel,techcrunch,0.2
ethan_menzel,linustech,0.2
biit3tv,techcrunch,0.2
biit3tv,python.hub,0.2
edge.case,techcrunch,0.2
edge.case,mashable,0.2
evandarkdj,digitaltrends,0.2
evandarkdj,techcrunch,0.2
kearnsmatt,wired,0.2
kearnsmatt,techcrunch,0.2
paoloat514,techcrunch,0.2
paoloat514,linustech,0.2
serafindesigns,techcrunch,0.2
serafindesigns,mashable,0.2
onestar.tripadvisor.review,verge,0.2
onestar.tripadvisor.review,techcrunch,0.2
hellocitycabs,verge,0.2
hellocitycabs,techcrunch,0.2
iam_nick,digitaltrends,0.2
iam_nick,techcrunch,0.2
iam_nick,mashable,0.2
innovatology,wired,0.2
innovatology,techcrunch,0.2
ash.carr_,wired,0.2
ash.carr_,techcrunch,0.2
deanbilal,techcrunch,0.2
deanbilal,mashable,0.2
ozcol,techcrunch,0.2
ozcol,mashable,0.2
wlrs_ocean,wired,0.2
wlrs_ocean,techcrunch,0.2
kireru_,verge,0.2
kireru_,techcrunch,0.2
khanittha8549,wired,0.3
khanittha8549,digitaltrends,0.3
marowee_2000,wired,0.3
marowee_2000,digitaltrends,0.3
muh_sam_ali,wired,0.3
muh_sam_ali,mashable,0.3
magnusjpierce,wired,0.3
magnusjpierce,mashable,0.3
0_monika_yadav1,wired,0.3
0_monika_yadav1,digitaltrends,0.3
0_monika_yadav1,gadgetflow,0.3
jicky_ratha,wired,0.3
jicky_ratha,mashable,0.3
tylerdurdan10,wired,0.2
tylerdurdan10,mashable,0.2
garciaclaud.io,wired,0.2
garciaclaud.io,verge,0.2
zedsflare,wired,0.2
zedsflare,mashable,0.2
michael_mmcd,wired,0.2
michael_mmcd,mashable,0.2
michael_mmcd,insidertech,0.2
drewhytt,wired,0.2
drewhytt,verge,0.2
thejilesmccoy,wired,0.2
thejilesmccoy,gizmodo,0.2
dragchainreaction,wired,0.2
dragchainreaction,verge,0.2
billhtan,wired,0.2
billhtan,insidertech,0.2
jmbinst007,wired,0.2
jmbinst007,verge,0.2
socialmediaisfake21,wired,0.2
socialmediaisfake21,mashable,0.2
zaneleg3nd_,wired,0.2
zaneleg3nd_,digitaltrends,0.2
zaneleg3nd_,insidertech,0.2
oldboone,wired,0.2
oldboone,engadget,0.2
irealshingyc,wired,0.2
irealshingyc,mkbhd,0.2
tcrimson05t,wired,0.2
tcrimson05t,verge,0.2
tcrimson05t,mkbhd,0.2
ash_ketchum_bain,wired,0.2
ash_ketchum_bain,insidertech,0.2
textcrash,wired,0.2
textcrash,androidauthority,0.2
textcrash,engadget,0.2
cdkirven,wired,0.2
cdkirven,mashable,0.2
deborahn.1974,wired,0.2
deborahn.1974,cnet,0.2
quirkyzaj,wired,0.2
quirkyzaj,insidertech,0.2
elijah.616x,wired,0.2
elijah.616x,insidertech,0.2
crystalthegoodtroll,wired,0.2
crystalthegoodtroll,gitHub,0.2
m0j0jojo1,wired,0.2
m0j0jojo1,insidertech,0.2
